Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Tie Me Down (with Elley Duhé),"Gryffin, Elley Duhé",Gravity,2IAVHJdaRPFA6MQqXHoG75,2zh01m4PiHaZz4BAm0NRxs,60,2019-10-24,218240,False,https://open.spotify.com/track/2zh01m4PiHaZz4BAm0NRxs,0.608,0.845,6,-2.292,1,0.0597,0.136,0.0,0.111,0.322,98.976
Till It Hurts (feat. Ayden),"Yellow Claw, Ayden",Till It Hurts (feat. Ayden),5j7gJBnJLzY2RGYe9ndCxZ,6HhrMBN43RnGlGv7vIdnM5,57,2014-11-03,188680,False,https://open.spotify.com/track/6HhrMBN43RnGlGv7vIdnM5,0.547,0.886,8,-4.016,1,0.0309,0.000624,0.000274,0.193,0.293,145.053
It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez),0IUCAsckpNyV4wHKIHQawC,3eR23VReFzcdmS7TYCrhCe,76,2017-02-16,220781,False,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968
Take Me Home (feat. Bebe Rexha),"Cash Cash, Bebe Rexha","Blood, Sweat & 3 Years",0KQDN58Lz8CXOsfIG6tQ7X,7L59vVTpoS94JU3KEeolqt,57,2016-06-24,206320,False,https://open.spotify.com/track/7L59vVTpoS94JU3KEeolqt,0.571,0.903,7,-2.184,1,0.214,0.0615,1.23e-06,0.186,0.477,127.951
2U (feat. Justin Bieber),"David Guetta, Justin Bieber",7: Anniversary Edition,0GJU424RiEyYQTLbZcHVA7,61WR5FfGNLJxpLsAc61qWQ,61,2018,194893,False,https://open.spotify.com/track/61WR5FfGNLJxpLsAc61qWQ,0.535,0.612,8,-7.406,0,0.0584,0.233,0.0,0.227,0.521,144.881
Cold Water,"Major Lazer, Justin Bieber, MØ",Major Lazer Essentials,2TVyGtVP8przbQk6f2oSXl,13pVIIellD76zNT1APT1De,67,2018-10-19,185352,False,https://open.spotify.com/track/13pVIIellD76zNT1APT1De,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.5,92.946
Ain't My Fault - R3hab Remix,"Zara Larsson, R3HAB",Ain't My Fault (R3hab Remix),2GmlMoRLlTxdQHpgrgaeAT,3YPlsrk0Voe8AOa1jyN891,55,2016-10-07,158773,False,https://open.spotify.com/track/3YPlsrk0Voe8AOa1jyN891,0.67,0.847,9,-3.723,1,0.043,0.0156,0.0,0.22,0.613,150.109
The Middle,"Zedd, Maren Morris, Grey",The Middle,7nEiwcUSwycvC77kZ9ub7c,09IStsImFySgyp0pIQdqAc,78,2018-01-23,184732,False,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01
More Than You Know,Axwell /\ Ingrosso,More Than You Know,6Ei5WWek37m1x9AjpSXTcJ,6h5PAsRni4IRlxWr6uDPTP,80,2017-07-28,203000,False,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077
Wolves,"Selena Gomez, Marshmello",Wolves,5gQZvWM1o8NkQndueJtZcP,0tBbt8CrmxbjRP0pueQkyU,77,2017-10-25,197993,False,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,0.725,0.804,11,-4.614,0,0.0422,0.124,0.0,0.204,0.31,124.996
Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",AVĪCI (01),1m3mf7xkXIwssVriaaTjOS,6Pgkp4qUoTmJIPn7ReaGxL,79,2017-08-10,181673,True,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993
Inside Out,"The Chainsmokers, Charlee",Inside Out,7mgjbCQ1gzFbASVLgD8YbV,7sG2bWi2eDtvX9vX8yC1Gn,52,2016-04-01,233773,False,https://open.spotify.com/track/7sG2bWi2eDtvX9vX8yC1Gn,0.545,0.65,7,-5.853,0,0.0315,0.00308,7.98e-06,0.122,0.121,143.937
The Ocean (feat. Shy Martin),"Mike Perry, shy martin",The Ocean (feat. Shy Martin),4pgNeQfSctryAw4e0uESHe,2CPqh63wRVscbceKcPxwvv,68,2016-04-15,183414,False,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037
Silence,"Marshmello, Khalid",Silence,2bw00gRKNKbTFOqCkohbSh,7vGuf3Y35N4wmASOKLUVVU,83,2017-08-11,180823,False,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971
Let Me Love You,"DJ Snake, Justin Bieber",Encore,02sEJTj1sye1JaqxqpcSCp,0lYBSQXN6rCTvUZvg9S0lU,84,2016-08-05,205947,False,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,0.475,0.715,8,-5.371,1,0.058,0.0863,2.67e-05,0.135,0.159,199.892
Light It Up (feat. Nyla & Fuse ODG) - Remix,"Major Lazer, Nyla, Fuse ODG",Peace Is the Mission (Extended Edition),0OY2WzmmPG8yRZzmMeTX9N,6lDo13SSgTv0WbyUQKgnjk,53,2015-11-27,166138,False,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk,0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.751,107.985
All My Love (feat. Ariana Grande & Machel Montano) - Remix,"Major Lazer, Ariana Grande, Machel Montano",Peace Is The Mission,4b6Si351g8brcy6TtHFn13,3GYcfRApdlbOz2UJdOwGju,28,2015-06-01,229751,False,https://open.spotify.com/track/3GYcfRApdlbOz2UJdOwGju,0.435,0.891,2,-3.907,0,0.178,0.0399,0.0,0.187,0.437,115.166
"Freal Luv (feat. Marshmello, Chanyeol & Tinashe)","Far East Movement, CHANYEOL, Marshmello, Tinashe",Identity,5yCLcHxaYIV6xC1kTJO1W2,7IAXZyP3QSuvd5NQNOOYQB,49,2016-10-21,190345,False,https://open.spotify.com/track/7IAXZyP3QSuvd5NQNOOYQB,0.645,0.813,8,-5.947,0,0.0655,0.139,1.27e-06,0.211,0.476,145.027
Levels - Radio Edit,Avicii,Levels,1OEGfToF7QbjUgyxMAnGXg,5UqCQaDshqbIk3pkhy4Pjg,80,2011-10-28,199907,False,https://open.spotify.com/track/5UqCQaDshqbIk3pkhy4Pjg,0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04
LUV U NEED U,Slushii,LUV U NEED U,2UtExGWJgKjkxT5V7RBIY2,23mQCWkhYaYieuwOY9XPsB,0,2017-06-12,146709,False,https://open.spotify.com/track/23mQCWkhYaYieuwOY9XPsB,0.774,0.81,1,-2.984,0,0.0734,0.186,0.00949,0.0261,0.975,146.95
I Still Recall,Slushii,I Still Recall,2dh0vU2Xa4kyvE7ul0ZY6O,4bDLPM8xumo7gXl71QDtkg,21,2017-01-13,192253,False,https://open.spotify.com/track/4bDLPM8xumo7gXl71QDtkg,0.553,0.699,2,-4.403,1,0.0572,0.699,4.17e-06,0.0996,0.226,147.081
Ritual (feat. Wrabel),"Marshmello, Wrabel",Ritual (feat. Wrabel),3mwc5RiHDXgirCArUrt7HH,04AYgtKFrpldRXe5y0LNGQ,51,2016-10-27,237473,False,https://open.spotify.com/track/04AYgtKFrpldRXe5y0LNGQ,0.561,0.946,10,-0.899,1,0.128,0.00848,2.05e-05,0.0635,0.3,109.891
Face My Fears (Japanese Version),"Hikaru Utada, Skrillex",Face My Fears,78yYCNxcHTH0Ugsekj8kbQ,7nHeBk3OsoBCLlQNpSxEgn,42,2019-01-18,222013,False,https://open.spotify.com/track/7nHeBk3OsoBCLlQNpSxEgn,0.626,0.729,1,-6.785,0,0.102,0.0135,0.0,0.133,0.441,159.762
Where Are Ü Now (with Justin Bieber),"Jack Ü, Skrillex, Diplo, Justin Bieber",Skrillex and Diplo present Jack Ü,6bfkwBrGYKJFk6Z4QVyjxd,66hayvUbTotekKU3H4ta1f,74,2015-02-24,250286,False,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432
