Nama,MQ2,MQ4,MQ5,MQ6
Kapal Api,1391,470,1903,223
Kapal Api,1391,469,1899,225
Kapal Api,1392,469,1906,229
Kapal Api,1388,475,1895,219
Kapal Api,1381,474,1885,221
Kapal Api,1388,469,1897,220
Kapal Api,1385,475,1900,219
Kapal Api,1387,477,1891,220
Kapal Api,1382,470,1894,218
Kapal Api,1375,476,1899,223
Kapal Api,1371,472,1894,226
Kapal Api,1365,482,1892,216
Kapal Api,1372,470,1890,226
Kapal Api,1349,484,1896,221
Kapal Api,1364,475,1891,211
Kapal Api,1363,484,1900,224
Kapal Api,1361,478,1887,219
Kapal Api,1360,486,1890,211
Kapal Api,1358,479,1890,219
Kapal Api,1365,477,1886,232
Kapal Api,1358,480,1888,219
Kapal Api,1351,482,1893,215
Kapal Api,1351,483,1894,221
Kapal Api,1360,479,1896,222
Kapal Api,1354,486,1885,220
Kapal Api,1350,483,1883,216
Kapal Api,1351,487,1884,214
Kapal Api,1349,489,1889,225
Kapal Api,1348,484,1889,216
Kapal Api,1344,488,1886,218
Kapal Api,1344,488,1889,219
Kapal Api,1346,483,1887,220
Kapal Api,1347,486,1888,218
Kapal Api,1340,487,1883,219
Kapal Api,1335,494,1892,221
Kapal Api,1337,488,1883,219
Kapal Api,1336,485,1888,222
Kapal Api,1338,492,1887,205
Kapal Api,1338,489,1880,214
Kapal Api,1332,481,1876,217
Kapal Api,1331,493,1877,223
Kapal Api,1332,489,1874,219
Kapal Api,1332,494,1883,210
Kapal Api,1330,495,1871,213
Kapal Api,1328,494,1880,213
Kapal Api,1328,492,1884,214
Kapal Api,1326,492,1875,214
Kapal Api,1322,496,1878,209
Kapal Api,1325,497,1876,214
Kapal Api,1326,495,1877,219
Kapal Api,1322,489,1878,215
Kapal Api,1327,497,1874,209
Kapal Api,1314,492,1875,209
Kapal Api,1317,499,1873,211
Kapal Api,1318,494,1880,210
Kapal Api,1313,493,1871,223
Kapal Api,1313,495,1876,205
Kapal Api,1318,496,1871,213
Kapal Api,1317,495,1871,211
Kapal Api,1317,492,1869,213
Kapal Api,1318,493,1874,215
Kapal Api,1317,493,1857,211
Kapal Api,1311,506,1866,217
Kapal Api,1319,501,1868,214
Kapal Api,1310,491,1868,211
Kapal Api,1311,502,1869,209
Kapal Api,1310,495,1871,216
Kapal Api,1310,499,1866,213
Kapal Api,1316,492,1866,203
Kapal Api,1309,502,1862,212
Kapal Api,1308,491,1861,218
Kapal Api,1312,498,1864,212
Kapal Api,1302,497,1858,218
Kapal Api,1307,495,1862,206
Kapal Api,1305,493,1855,210
Kapal Api,1301,507,1864,219
Kapal Api,1308,501,1861,211
Kapal Api,1302,505,1865,206
Kapal Api,1313,498,1862,207
Kapal Api,1300,501,1863,215
Kapal Api,1307,504,1860,206
Kapal Api,1302,513,1853,209
Kapal Api,1307,502,1856,209
Kapal Api,1304,504,1858,206
Kapal Api,1298,500,1856,214
Kapal Api,1299,501,1853,210
Kapal Api,1306,509,1859,207
Kapal Api,1302,504,1858,211
Kapal Api,1298,506,1855,215
Kapal Api,1300,498,1853,205
Kapal Api,1303,507,1854,203
Kapal Api,1300,511,1854,203
Kapal Api,1302,508,1847,205
Kapal Api,1304,503,1852,208
Kapal Api,1297,507,1854,211
Kapal Api,1297,511,1853,206
Kapal Api,1294,507,1849,205
Kapal Api,1294,504,1849,211
Kapal Api,1294,499,1853,204
Kapal Api,1297,505,1845,216
Kapal Api,1297,508,1853,211
Kapal Api,1289,505,1844,207
Kapal Api,1287,506,1852,205
Kapal Api,1295,499,1848,206
Kapal Api,1291,506,1850,206
Kapal Api,1285,506,1846,211
Kapal Api,1293,500,1854,202
Kapal Api,1285,498,1849,211
Kapal Api,1293,505,1849,209
Kapal Api,1283,504,1850,210
Kapal Api,1296,505,1845,214
Kapal Api,1292,506,1854,201
Kapal Api,1295,508,1853,209
Kapal Api,1294,507,1852,207
Kapal Api,1300,511,1852,215
Kapal Api,1294,512,1852,202
Kapal Api,1302,507,1848,204
Kapal Api,1293,502,1853,205
Kapal Api,1288,508,1850,203
Kapal Api,1304,508,1864,214
Kapal Api,1294,507,1846,202
Kapal Api,1295,514,1841,210
Kapal Api,1297,508,1847,207
Kapal Api,1291,515,1842,207
Kapal Api,1293,506,1856,204
Kapal Api,1288,512,1847,204
Kapal Api,1288,510,1849,211
